id,part_number,label,category,moved_to
parts/2634c02.dat,2634c02,Window 2 x 8 x 2 Inverted Sloped with TransBlack Glass,Window,False
parts/6309p12.dat,6309p12,Duplo Tile  2 x  2 with Yellow Inverse Isosc. Triangle Pattern,Duplo,False
parts/3665ap01.dat,3665ap01,Slope Brick 45  2 x  1 Inverted without Inner Stopper Ring with  2 Black Rectangles Pattern,Slope,False
parts/715.dat,715,Wheel Rim  8 x 35 with 12 Studs with Axle (Complete),Wheel,False
parts/973p34.dat,973p34,Minifig Torso with Open Jacket over Striped Vest Pattern,Minifig,False
parts/3815c6u.dat,3815c6u,Minifig Hips and Legs with Orange Cable Pattern,Minifig,False
parts/11458.dat,11458,Plate  1 x  2 with Offset Peghole,Plate,False
parts/3070bpe6.dat,3070bpe6,"Tile  1 x  1 with Yellow Waistcoat, White Shirt and Lilac Bow Tie Pattern",Tile,False
parts/41879.dat,41879,,,"0 ~Moved to 41879a
"
parts/u9050.dat,u9050,Motor Windup  2 x  6 x  2.333 Side Panel,Motor,False
parts/004659d.dat,004659d,Sticker  2.4 x  3 with United States Flag,Sticker,False
parts/004630a.dat,004630a,"Sticker  1.2 x  3 with ""Spirit of St. Louis"" Right",Sticker,False
parts/3629.dat,3629,Minifig Hat Cowboy,Minifig,False
parts/13790.dat,13790,Minifig Weapon Billy Club,Minifig,False
parts/973p44.dat,973p44,Minifig Torso with Wolfpack Pattern,Minifig,False
parts/4773a.dat,4773a,Electric Light & Sound Brick  2 x  2 x  1.333 Siren Top,Electric,False
parts/604615.dat,604615,Minifig Tool Socket Wrench with Ratchet and 3-Rib Handle,Minifig,False
parts/973psw.dat,973psw,Minifig Torso with SW Cad Bane Pattern,Minifig,False
parts/30395.dat,30395,Hook with Towball,Hook,False
parts/288.dat,288,,,"0 ~Moved to 4449k03
"
parts/262.dat,262,,,"0 ~Moved to 3811
"
parts/3626bps9.dat,3626bps9,Minifig Head with SW Brown Eyebrows and Beard Pattern,Minifig,False
parts/43464.dat,43464,Technic Beam  4 x  3 Liftarm Triangle,Technic,False
parts/4452.dat,4452,Container Box  6 x  6,Container,False
parts/33847.dat,33847,Slope Brick 31  1 x  1 x  0.667 ,Slope,False
parts/977.dat,977,Minifig Hand (Obsolete),Minifig,False
parts/297.dat,297,,,"0 ~Moved to 4593
"
parts/919.dat,919,Electric Power Functions 9V Battery Box Case,Electric,False
parts/3853.dat,3853,Window  1 x  4 x  3,Window,False
parts/6538a.dat,6538a,Technic Axle Joiner,Technic,False
parts/3622p05.dat,3622p05,Brick  1 x  3 with Cat Face with Wide Eyes and Smiling Open Mouth with One Tooth Pattern,Brick,False
parts/4737.dat,4737,Panel  4 x  4 x  6 Outward Sloping Corner,Panel,False
parts/34d.dat,34d,,,"0 ~Moved to 3111
"
parts/3351ap10.dat,3351ap10,"Roadsign Triangular Type 1 with Road Works, 2 Piles Type 1 Patt.",Roadsign,False
parts/70026.dat,70026,Train 12V Actuator  4 x  8 x  1.667 Electric (Complete),Train,False
parts/99253.dat,99253,Minifig Lasso,Minifig,False
parts/32140.dat,32140,Technic Beam  2 x  4 Liftarm Bent 90,Technic,False
parts/2488.dat,2488,Minifig Whip,Minifig,False
parts/48914.dat,48914,Technic Shock Absorber 11L/9L Spring Holder,Technic,False
parts/3068bp35.dat,3068bp35,Tile  2 x  2 with Map Heartlake Park Pattern,Tile,False
parts/87079p03.dat,87079p03,Tile  2 x  4 with Orange Triangle Top Right Pattern,Tile,False
parts/23816c01.dat,23816c01,Electric Power Functions 2.0 Plug with Black Cable Stub,Electric,False
parts/56204.dat,56204,Slope Brick Curved  6 x  8 x  2 Double,Slope,False
parts/786p17.dat,786p17,Flag on Flagpole Type 4 with Canada Pattern,Flag,False
parts/122c04.dat,122c04,Plate  2 x  2 with White Wheels and Tyres 6/ 50 x 8 Offset Tread,Plate,False
parts/u8017.dat,u8017,Mursten Window Pane  1 x  2 x  3,Mursten,False
parts/973pge.dat,973pge,Minifig Torso with Soccer Team White Stripes and White # 9 Pattern,Minifig,False
parts/62361.dat,62361,Car Mudguard  6 x  1.5 x  1 with Arch,Car,False
parts/6259.dat,6259,Cylinder  2 x  4 x  4 ,Cylinder,False
parts/303923.dat,303923,Slope Brick 45  2 x  2 Blue (Obsolete),Slope,False
parts/92713c01.dat,92713c01,Conveyor Belt  4 x 16 with 14 Treads (Formed),Conveyor,False
parts/4211152.dat,4211152,Plate  1 x  3 ReddishBrown (Obsolete),Plate,False
parts/4493pw1c00.dat,4493pw1c00,Animal Horse with Green Blanket and Red Hand Pattern (Complete),Animal,False
parts/48138.dat,48138,Quatro Brick  2 x  2,Quatro,False
parts/54872.dat,54872,Minifig Head SpongeBob,Minifig,False
parts/777p01.dat,777p01,Flag on Flagpole Type 2 with Germany Pattern,Flag,False
parts/3626cpb9.dat,3626cpb9,Minifig Head with Black Eyebrows and Cheek Lines 2-Sided Pattern,Minifig,False
parts/3069bps3.dat,3069bps3,Tile  1 x  2 with SW Mini Jedi Starfighter Pattern,Tile,False
parts/2637.dat,2637,Technic Link 16L,Technic,False
parts/92912.dat,92912,Tyre 38/ 76 x 56,Tyre,False
parts/6053.dat,6053,Boat Stern 12 x 14 x  5.333 Hull Inside,Boat,False
parts/2547bc01.dat,2547bc01,Animal Shark Type 2 (Complete),Animal,False
parts/2437.dat,2437,Windscreen  3 x  4 x  1 & 1/3,Windscreen,False
parts/16001.dat,16001,Minifig Arm Left Dual Mould,Minifig,False
parts/90638.dat,90638,Constraction Shell  2.5 x  3 x  6 Flat,Constraction,False
parts/u9102.dat,u9102,Figure Fabuland Torso,Figure,False
parts/2358.dat,2358,Baseplate 32 x 32 Road 7-Stud Straight,Baseplate,False
parts/3831d01.dat,3831d01,Hinge Brick  1 x  4 Base with 2 Stickers with Shell Logo,Hinge,False
parts/2909c01.dat,2909c01,,,"0 ~Moved to 75348
"
parts/2772c02.dat,2772c02,,,"0 ~Moved to 2772-f2
"
parts/4319.dat,4319,Hinge Bar  8 with Split Bar Holder,Hinge,False
parts/3024ptc4.dat,3024ptc4,Plate  1 x  1 with Minecraft Micro Mob Zombie Eyes Pattern,Plate,False
parts/194065d.dat,194065d,Sticker  4.1 x  2 with Number 78,Sticker,False
parts/4085.dat,4085,,,"0 ~Moved to 4085c
"
parts/15529p01.dat,15529p01,"Minifig Head Simpsons Ned Flanders with Glasses, Hair and Moustache Pattern",Minifig,False
parts/3817pq1.dat,3817pq1,Minifig Leg Left with DarkBlue and Gold Loincloth Pattern,Minifig,False
parts/2742.dat,2742,Propellor  3 Blade 15 Diameter,Propellor,False
parts/32057.dat,32057,Wheel Rim 14 x 60 with 3 Spokes and 3 Pegholes,Wheel,False
parts/6057.dat,6057,Boat Rigging  5 x 15 Trapezoid,Boat,False
parts/u9001p05.dat,u9001p05,Electric Switch: Key Left with Left Rotating Arrow Pattern,Electric,False
